flight_id,from_city,to_city,datetime,cost,cancel_available,time_cancel_available
FL9769,Buon Ma Thuot,Phu Quoc,5/9/2025 8:30,1330000,FALSE,
FL1841,Buon Ma Thuot,Thanh Hoa,5/9/2025 16:45,640000,FALSE,
FL8267,Hanoi,Ho Chi Minh City,5/9/2025 9:45,1580000,FALSE,
FL1958,Vinh,Pleiku,5/9/2025 14:30,1540000,FALSE,
FL1253,Can Tho,Hanoi,5/9/2025 11:30,1850000,TRUE,5/9/2025 8:30
FL2606,Da Nang,Nha Trang,5/9/2025 8:30,730000,TRUE,5/9/2025 2:30
FL6433,Can Tho,Buon Ma Thuot,5/9/2025 12:30,1260000,FALSE,
FL3587,Quy Nhon,Nha Trang,5/9/2025 8:15,1210000,FALSE,
FL2910,Ho Chi Minh City,Can Tho,5/9/2025 12:00,1310000,TRUE,5/9/2025 8:00
FL2831,Phu Quoc,Ho Chi Minh City,5/10/2025 8:30,560000,FALSE,
FL5495,Thanh Hoa,Phu Quoc,5/10/2025 20:45,1240000,TRUE,5/10/2025 18:45
FL7910,Hai Phong,Ho Chi Minh City,5/10/2025 7:15,1550000,TRUE,5/10/2025 1:15
FL1425,Buon Ma Thuot,Hanoi,5/10/2025 6:30,900000,TRUE,5/10/2025 4:30
FL5635,Da Nang,Hai Phong,5/10/2025 14:15,780000,FALSE,
FL9921,Buon Ma Thuot,Phu Quoc,5/10/2025 9:45,1750000,TRUE,5/10/2025 5:45
FL7916,Buon Ma Thuot,Hai Phong,5/10/2025 13:15,1830000,TRUE,5/10/2025 8:15
FL2286,Pleiku,Quy Nhon,5/10/2025 7:30,1820000,FALSE,
FL8350,Can Tho,Hanoi,5/10/2025 7:45,1420000,FALSE,
FL3750,Phu Quoc,Quy Nhon,5/10/2025 17:30,500000,TRUE,5/10/2025 13:30
FL4480,Phu Quoc,Hai Phong,5/11/2025 14:45,1810000,FALSE,
FL1050,Nha Trang,Can Tho,5/11/2025 6:30,1630000,TRUE,5/11/2025 0:30
FL1408,Hai Phong,Thanh Hoa,5/11/2025 18:30,1660000,TRUE,5/11/2025 14:30
FL6743,Da Nang,Ho Chi Minh City,5/11/2025 15:45,610000,FALSE,
FL9735,Thanh Hoa,Hanoi,5/11/2025 11:45,560000,TRUE,5/11/2025 7:45
FL4925,Da Nang,Quy Nhon,5/11/2025 12:45,840000,FALSE,
FL1568,Ho Chi Minh City,Can Tho,5/11/2025 11:30,1310000,TRUE,5/11/2025 7:30
FL1597,Pleiku,Phu Quoc,5/11/2025 20:00,1530000,TRUE,5/11/2025 15:00
FL6130,Hai Phong,Hue,5/11/2025 11:30,900000,TRUE,5/11/2025 9:30
FL6457,Da Nang,Thanh Hoa,5/11/2025 11:45,1010000,FALSE,
FL1647,Ho Chi Minh City,Quy Nhon,5/11/2025 7:45,900000,FALSE,
FL4913,Pleiku,Hue,5/12/2025 16:45,1020000,FALSE,
FL3463,Hue,Nha Trang,5/12/2025 20:00,700000,FALSE,
FL6632,Can Tho,Hue,5/12/2025 15:15,1620000,TRUE,5/12/2025 12:15
FL7098,Ho Chi Minh City,Da Nang,5/12/2025 7:30,1180000,FALSE,
FL6748,Vinh,Hai Phong,5/12/2025 11:45,1880000,FALSE,
FL3216,Thanh Hoa,Ho Chi Minh City,5/12/2025 7:30,1440000,TRUE,5/12/2025 1:30
FL1282,Nha Trang,Hanoi,5/12/2025 17:00,1380000,TRUE,5/12/2025 12:00
FL2866,Da Nang,Hanoi,5/12/2025 14:45,1460000,FALSE,
FL3651,Hanoi,Pleiku,5/12/2025 8:30,710000,FALSE,
FL2677,Hai Phong,Phu Quoc,5/12/2025 15:30,770000,FALSE,
FL1757,Hai Phong,Ho Chi Minh City,5/12/2025 15:00,1680000,FALSE,
FL9026,Buon Ma Thuot,Nha Trang,5/12/2025 20:00,1790000,FALSE,
FL7641,Pleiku,Hue,5/13/2025 9:15,1060000,TRUE,5/13/2025 5:15
FL4803,Hanoi,Hue,5/13/2025 16:45,780000,FALSE,
FL4358,Da Nang,Quy Nhon,5/13/2025 17:00,1670000,TRUE,5/13/2025 15:00
FL8924,Quy Nhon,Ho Chi Minh City,5/13/2025 10:45,1530000,TRUE,5/13/2025 8:45
FL6503,Hanoi,Da Nang,5/13/2025 11:15,1450000,FALSE,
FL2690,Nha Trang,Vinh,5/13/2025 11:30,780000,FALSE,
FL9775,Vinh,Da Nang,5/13/2025 12:00,1560000,TRUE,5/13/2025 8:00
FL7639,Da Nang,Vinh,5/13/2025 20:00,2000000,TRUE,5/13/2025 18:00
FL9253,Can Tho,Quy Nhon,5/14/2025 18:15,650000,FALSE,
FL3878,Ho Chi Minh City,Hai Phong,5/14/2025 10:15,1040000,TRUE,5/14/2025 4:15
FL8308,Phu Quoc,Hue,5/14/2025 11:45,1190000,FALSE,
FL6239,Buon Ma Thuot,Ho Chi Minh City,5/14/2025 17:30,1980000,FALSE,
FL5373,Da Nang,Thanh Hoa,5/14/2025 18:45,940000,TRUE,5/14/2025 14:45
FL9780,Thanh Hoa,Ho Chi Minh City,5/14/2025 19:30,740000,TRUE,5/14/2025 17:30
FL6543,Phu Quoc,Quy Nhon,5/14/2025 18:15,1580000,TRUE,5/14/2025 16:15
FL3508,Vinh,Nha Trang,5/14/2025 19:15,1720000,TRUE,5/14/2025 13:15
FL5167,Vinh,Can Tho,5/15/2025 13:30,570000,FALSE,
FL8825,Pleiku,Can Tho,5/15/2025 9:15,1810000,FALSE,
FL8470,Buon Ma Thuot,Vinh,5/15/2025 10:45,1010000,TRUE,5/15/2025 4:45
FL4803,Hanoi,Thanh Hoa,5/15/2025 6:45,1310000,FALSE,
FL2470,Buon Ma Thuot,Thanh Hoa,5/15/2025 14:15,830000,TRUE,5/15/2025 12:15
FL6497,Hanoi,Quy Nhon,5/15/2025 10:00,1970000,FALSE,
FL5452,Buon Ma Thuot,Hai Phong,5/16/2025 12:45,840000,FALSE,
FL6434,Hue,Pleiku,5/16/2025 17:30,810000,FALSE,
FL5079,Buon Ma Thuot,Phu Quoc,5/16/2025 16:15,1230000,FALSE,
FL3515,Nha Trang,Can Tho,5/16/2025 9:15,1900000,FALSE,
FL9116,Pleiku,Hai Phong,5/16/2025 16:00,1120000,FALSE,
FL7111,Pleiku,Hai Phong,5/16/2025 12:00,630000,FALSE,
FL1301,Ho Chi Minh City,Thanh Hoa,5/16/2025 18:30,1450000,FALSE,
FL8585,Pleiku,Nha Trang,5/16/2025 18:00,960000,TRUE,5/16/2025 12:00
FL3334,Can Tho,Phu Quoc,5/16/2025 13:45,830000,FALSE,
FL7322,Can Tho,Vinh,5/16/2025 6:30,1700000,TRUE,5/16/2025 1:30
FL9358,Hai Phong,Quy Nhon,5/16/2025 15:00,510000,TRUE,5/16/2025 13:00
FL6738,Can Tho,Vinh,5/17/2025 20:30,800000,TRUE,5/17/2025 16:30
FL8600,Hue,Vinh,5/17/2025 7:30,1690000,TRUE,5/17/2025 4:30
FL4225,Hue,Buon Ma Thuot,5/17/2025 14:30,1370000,FALSE,
FL4356,Thanh Hoa,Nha Trang,5/17/2025 9:15,840000,FALSE,
FL7651,Hai Phong,Can Tho,5/17/2025 10:30,670000,TRUE,5/17/2025 8:30
FL5058,Hai Phong,Pleiku,5/17/2025 15:15,990000,TRUE,5/17/2025 12:15
FL9287,Can Tho,Thanh Hoa,5/17/2025 8:45,1710000,TRUE,5/17/2025 6:45
FL7152,Thanh Hoa,Vinh,5/17/2025 14:15,1780000,TRUE,5/17/2025 10:15
FL5742,Vinh,Can Tho,5/18/2025 10:30,890000,TRUE,5/18/2025 6:30
FL1574,Ho Chi Minh City,Quy Nhon,5/18/2025 13:00,1790000,FALSE,
FL1929,Ho Chi Minh City,Da Nang,5/18/2025 11:15,1640000,TRUE,5/18/2025 9:15
FL6934,Can Tho,Hue,5/18/2025 8:00,870000,FALSE,
FL5273,Pleiku,Buon Ma Thuot,5/18/2025 17:15,510000,TRUE,5/18/2025 14:15
FL2808,Vinh,Hai Phong,5/18/2025 16:15,1910000,FALSE,
FL5443,Quy Nhon,Ho Chi Minh City,5/18/2025 15:15,1460000,FALSE,
FL1837,Hai Phong,Vinh,5/18/2025 18:00,1030000,TRUE,5/18/2025 12:00
FL3030,Nha Trang,Vinh,5/19/2025 9:45,1740000,FALSE,
FL7775,Hai Phong,Thanh Hoa,5/19/2025 18:30,1110000,TRUE,5/19/2025 14:30
FL7586,Phu Quoc,Pleiku,5/19/2025 7:15,970000,TRUE,5/19/2025 4:15
FL3019,Da Nang,Ho Chi Minh City,5/19/2025 13:45,1910000,TRUE,5/19/2025 8:45
FL7480,Buon Ma Thuot,Pleiku,5/19/2025 17:30,700000,TRUE,5/19/2025 13:30
FL2056,Hanoi,Hai Phong,5/19/2025 18:00,1310000,TRUE,5/19/2025 12:00
FL8679,Quy Nhon,Hai Phong,5/19/2025 9:15,1910000,FALSE,
FL4586,Hai Phong,Ho Chi Minh City,5/19/2025 16:30,1260000,TRUE,5/19/2025 10:30
