flight_id,from_city,to_city,datetime,cost
FL9769,Ha Noi,Ho Chi Minh,06/16/2025  08:30:00,1330000
FL1841,Ha Noi,Da Nang,06/16/2025  16:45:00,640000
FL8267,Ha Noi,Hue,06/16/2025  09:45:00,1580000
FL1958,Ha Noi,Da Nang,06/15/2025  14:30:00,1540000
FL1253,Ha Noi,Hue,06/15/2025  11:30:00,1850000
FL2606,Ha Noi,Ho Chi Minh,06/15/2025  08:30:00,730000
FL6433,Ha Noi,Ho Chi Minh,06/152025  12:30:00,1260000
FL3587,Ha Noi,Ho Chi Minh,06/15/2025  08:15:00,1210000
FL2910,Ha Noi,Ho Chi Minh,06/15/2025  12:00:00,1310000
FL2831,Ha Noi,Ho Chi Minh,06/15/2025  08:30:00,560000
FL5495,Ha Noi,Ho Chi Minh,06/15/2025  20:45:00,1240000
FL7910,Hai Phong,Da Nang,06/15/2025  07:15:00,1550000
FL1425,Hai Phong,Ho Chi Minh,06/15/2025  06:30:00,900000
FL5635,Ho Chi Minh,Hai Phong,06/15/2025  14:15:00,780000
FL9921,Hai Phong,Ho Chi Minh,06/15/2025  09:45:00,1750000
FL7916,Hai Phong,Ho Chi Minh,06/15/2025  13:15:00,1830000
FL2286,Ho Chi Minh,Da Nang,06/15/2025  07:30:00,1820000
FL8350,Hai Phong,Ho Chi Minh,06/15/2025  07:45:00,1420000
FL3750,Ho Chi Minh,Ha Noi,06/15/2025  17:30:00,500000
FL4480,Ho Chi Minh,Ha Noi,06/15/2025  14:45:00,1810000
FL1050,Hai Phong,Da Nang,06/16/2025  06:30:00,1630000
FL1408,Hue,Ho Chi Minh,06/16/2025  18:30:00,1660000
FL6743,Hai Phong,Ho Chi Minh,06/16/2025  15:45:00,610000
FL9735,Hai Phong,Ho Chi Minh,06/16/2025  11:45:00,560000
FL4925,Da Nang,Hai Phong,06/16/2025  12:45:00,840000
FL1568,Da Nang,Ho Chi Minh,06/16/2025  11:30:00,1310000
FL1597,Da Nang,Ho Chi Minh,06/16/2025  20:00:00,1530000
FL6130,Da Nang,Ho Chi Minh,06/16/2025  11:30:00,900000
FL6457,Da Nang,Ha Noi,06/16/2025  11:45:00,1010000
FL1647,Da Nang,Ha Noi,06/16/2025  07:45:00,900000
FL4913,Da Nang,Ha Noi,06/16/2025  16:45:00,1020000
FL3463,Da Nang,Ha Noi,06/16/2025  20:00:00,700000
FL6632,Da Nang,Ha Noi,06/16/2025  15:15:00,1620000
FL7098,Hue,Ho Chi Minh,06/16/2025  07:30:00,1180000
FL6748,Hue,Ho Chi Minh,06/16/2025  11:45:00,1880000
FL3216,Hue,Ho Chi Minh,06/16/2025  07:30:00,1440000
FL1282,Hue,Ha Noi,06/16/2025  17:00:00,1380000
FL2866,Hue,Ha Noi,06/16/2025  14:45:00,1460000
FL3651,Hue,Ha Noi,06/16/2025  08:30:00,710000
